   70.82   0.819633   18.702 0.202  480 1.39 Ks
   71.62   0.828972   18.500 0.175  480 1.25 Ks
   72.41   0.838035   18.454 0.171  480 1.33 Ks
   73.19   0.847117   18.525 0.177  480 1.27 Ks
   73.99   0.856314   18.515 0.169  480 1.36 Ks
   74.79   0.865581   18.475 0.170  480 1.30 Ks
   75.58   0.874812   18.476 0.188  480 1.42 Ks
   76.38   0.883978   18.431 0.173  480 1.28 Ks
   77.17   0.893158   18.247 0.191  480 1.30 Ks
   77.98   0.902545   18.470 0.182  480 1.26 Ks
   78.78   0.911825   18.261 0.187  480 1.43 Ks
   79.58   0.921103   18.054 0.187  480 1.39 Ks
   80.38   0.930378   17.999 0.154  480 1.42 Ks
   81.19   0.939736   17.965 0.171  480 1.43 Ks
   81.97   0.948770   17.922 0.211  480 1.62 Ks
  151.52   1.753657   17.843 0.147  480 1.32 Ks
  155.94   1.804812   17.866 0.146  480 1.35 Ks
  160.36   1.855967   18.014 0.164  480 1.45 Ks
  164.73   1.906554   18.095 0.176  480 1.47 Ks
  239.84   2.775900   18.713 0.173  960 1.35 Ks
  250.97   2.904789   18.985 0.208  960 1.31 Ks
  329.20   3.810145   19.102 0.179 1920 1.27 Ks
  415.49   4.808939   19.650 0.259 1920 1.33 Ks
  501.11   5.799862   19.937 0.320 1920 1.30 Ks
  588.13   6.807036   19.667 0.272 1920 1.41 Ks
  669.20   7.745412   19.860 0.351  960 1.49 Ks
  843.69   9.764943   20.486 0.458 1440 1.22 Ks
 1101.95  12.754108   20.573 0.516 2160 1.33 Ks
 1880.58  21.765933   20.698 0.747 2400 1.47 Ks
 2401.32  27.793085 > 20.320       3600 1.50 Ks
 3090.99  35.775376 > 20.223       3240 1.50 Ks
 4258.47  49.287829 > 19.190       4560 2.12 Ks
 4732.22  54.771095 > 20.333       4560 1.37 Ks
 6241.91  72.244301 > 20.061       2880 1.50 Ks
24277.49 280.989412 > 20.559       3600 1.31 Ks
