NIR photometry of the local sequences in the standard system.
ID, alpha (2000), delta (2000), Y, Yerr, J, Jerr, H, Herr
------------------------------------------------------------------
2004ew
127  23:04:50.23  +07:34:00.7  15.191 0.022  14.700 0.021  14.074 0.042   
128  23:04:39.77  +07:38:04.9  15.691 0.044  15.388 0.066  15.059 0.050   
129  23:04:47.74  +07:36:07.0  16.374 0.062  15.936 0.052  15.303 0.071   
130  23:04:54.51  +07:38:34.3  16.243 0.046  15.738 0.057  15.209 0.068   
2006lc 
103  22:44:33.09  -00:09:47.7  14.407 0.014  14.093 0.047  13.741 0.032   
105  22:44:20.80  -00:09:14.3  15.358 0.029  14.864 0.038  14.261 0.024   
108  22:44:18.90  -00:09:48.3  16.097 0.026  15.785 0.051  15.489 0.010   
109  22:44:29.08  -00:10:03.9  16.222 0.041  15.865 0.041  15.459 0.064   
111  22:44:27.54  -00:11:18.2  16.497 0.072  15.996 0.039  15.338 0.061   
126  22:44:28.18  -00:11:11.5  17.005 0.039  16.494 0.066  16.001 0.098   
131  22:44:30.05  -00:09:02.2  17.567 0.067  17.140 0.147  16.443 0.066   
132  22:44:19.93  -00:08:46.5  17.921 0.061  17.501 0.008  16.797 0.147   
133  22:44:20.39  -00:10:25.8  18.010 0.170  17.667 0.105  16.662 0.145   
134  22:44:22.12  -00:10:28.4  17.962 0.084   INDEF INDEF  16.717 0.027   
135  22:44:29.64  -00:09:06.9  18.380 0.043  17.795 0.104  17.190 0.140   
136  22:44:24.73  -00:10:30.8  18.089 0.038   INDEF INDEF   INDEF INDEF   
137  22:44:21.15  -00:09:31.4  18.318 0.148   INDEF INDEF   INDEF INDEF   
2007C 
101  13:08:42.47  -06:44:44.3  12.934 0.032  12.547 0.012  11.923 0.014   
102  13:08:48.07  -06:50:35.6  13.798 0.011  13.454 0.012  12.910 0.003   
103  13:08:39.66  -06:46:16.6  13.906 0.027  13.576 0.012  13.006 0.027   
104  13:09:00.55  -06:49:43.3  14.080 0.016  13.676 0.011  13.051 0.026   
105  13:09:07.62  -06:44:17.2  14.199 0.040  13.978 0.011  13.627 0.037   
106  13:08:57.81  -06:49:35.1  14.998 0.034  14.633 0.016  14.005 0.026   
107  13:08:42.07  -06:43:11.9  15.317 0.028  15.008 0.024  14.402 0.003   
108  13:08:39.11  -06:46:25.8  16.176 0.023  15.701 0.031  15.158 0.058   
109  13:08:39.52  -06:49:08.7  16.187 0.063  15.738 0.023  15.060 0.034   
110  13:08:42.96  -06:46:05.8  16.276 0.064  15.861 0.038  15.092 0.049   
111  13:08:50.09  -06:50:25.4  16.246 0.044  15.967 0.047  15.290 0.095   
112  13:08:50.84  -06:45:37.1  16.404 0.019  16.163 0.024  15.656 0.070   
113  13:08:49.94  -06:44:34.4  16.491 0.053  16.151 0.049  15.623 0.086   
114  13:08:58.41  -06:47:36.7  16.761 0.088  16.379 0.034  15.797 0.115   
115  13:08:56.54  -06:43:10.1  17.116 0.090  16.826 0.090  16.279 0.054   
116  13:08:41.93  -06:45:24.3  17.223 0.056  17.011 0.097  16.423 0.027   
117  13:08:45.22  -06:44:38.8  17.341 0.163  17.084 0.184  16.420 0.009   
118  13:08:52.85  -06:46:51.9  17.529 0.071  17.162 0.062  16.528 0.041   
119  13:08:52.42  -06:42:49.7  17.327 0.082  16.993 0.063  16.243 0.098   
120  13:08:52.79  -06:47:48.0  17.608 0.003  17.375 0.033  16.789 0.197   
121  13:09:08.91  -06:46:28.7  13.068 0.025  12.745 0.013  12.235 0.028   
123  13:08:41.08  -06:46:53.8  16.128 0.043  15.647 0.049  15.046 0.032   
125  13:08:52.54  -06:45:30.8  17.802 0.033  17.670 0.037  17.245 0.046   
126  13:08:56.93  -06:45:27.2  17.010 0.033  16.666 0.032  15.923 0.191   
127  13:09:08.41  -06:44:48.7  14.549 0.029  14.346 0.011  14.023 0.023   
128  13:08:51.21  -06:44:49.7  17.435 0.036  17.172 0.096  16.400 0.078   
129  13:08:47.88  -06:44:59.2  17.186 0.057  16.763 0.078  16.316 0.126   
130  13:08:55.64  -06:50:10.6  13.550 0.008  13.181 0.004  12.564 0.023   
131  13:08:58.69  -06:49:49.6  15.116 0.020  14.691 0.021  14.064 0.029   
2007Y 
101  03:02:28.44  -22:53:08.1  15.563 0.076  15.338 0.036  15.009 0.144   
102  03:02:29.07  -22:56:43.7  15.002 0.074  14.601 0.048  14.043 0.085   
103  03:02:29.44  -22:55:35.7  15.015 0.021  14.578 0.014  13.957 0.111   
104  03:02:31.60  -22:55:33.5  15.407 0.003  14.955 0.018  14.271 0.102   
105  03:02:57.16  -22:54:03.4  16.028 0.126  15.666 0.092  15.014 0.153   
106  03:02:50.06  -22:58:04.4  16.360 0.076  16.125 0.148  15.421 0.016   
107  03:02:51.19  -22:55:58.8  16.855 0.098  16.181 0.191  15.737 0.153   
108  03:02:55.60  -22:55:41.7   INDEF INDEF  16.031 0.130  15.578 0.163   
109  03:02:52.14  -22:55:16.2  16.812 0.084  16.316 0.152  15.654 0.124   
110  03:02:49.39  -22:57:34.5  16.655 0.078  16.142 0.082  15.558 0.091   
111  03:02:32.49  -22:56:21.0  17.178 0.130  16.575 0.181  15.378 0.151   
112  03:02:42.40  -22:54:59.3  15.094 0.010  14.579 0.053  14.000 0.037   
113  03:02:42.37  -22:51:38.5  15.360 0.029  14.900 0.095  14.362 0.003   
2007ag 
101  10:01:28.12  +21:38:32.6  12.322 0.019  12.060 0.029  11.562 0.016   
102  10:01:31.82  +21:35:04.3  12.474 0.011  12.052 0.032  11.490 0.016   
103  10:01:57.64  +21:33:59.7  12.989 0.019  12.778 0.030  12.432 0.025   
104  10:01:39.68  +21:37:55.4  14.842 0.013  14.614 0.036  14.204 0.035   
105  10:01:30.77  +21:34:24.9  14.897 0.034  14.490 0.042  13.871 0.068   
106  10:01:52.41  +21:34:48.6  15.411 0.005  15.037 0.044  14.496 0.077   
107  10:01:41.36  +21:36:35.8  15.485 0.017  15.055 0.034  14.499 0.052   
108  10:01:35.62  +21:34:15.9  15.803 0.065  15.584 0.055  15.285 0.119   
109  10:01:45.10  +21:37:53.1  16.042 0.051  15.720 0.067  15.214 0.065   
110  10:01:41.91  +21:39:02.0  16.318 0.021  15.967 0.110   INDEF INDEF   
111  10:01:36.38  +21:39:25.9  16.509 0.056  15.976 0.078  15.571 0.114   
112  10:01:46.66  +21:39:20.6  16.495 0.016  16.151 0.010  15.494 0.015   
113  10:01:31.56  +21:33:45.6  16.689 0.061  16.346 0.089  15.617 0.189   
114  10:01:47.33  +21:38:27.7  16.852 0.078  16.386 0.128  15.642 0.093   
115  10:01:49.64  +21:39:08.2  16.947 0.025  16.683 0.034  16.126 0.145   
116  10:01:33.55  +21:36:47.7  17.291 0.051  16.710 0.088  16.157 0.042   
118  10:01:31.19  +21:38:27.1  17.433 0.003  16.889 0.100  16.181 0.141   
119  10:01:51.87  +21:38:41.9  17.321 0.116  16.844 0.091  16.042 0.127   
120  10:01:50.74  +21:35:06.5  17.265 0.062   INDEF INDEF   INDEF INDEF   
122  10:01:34.37  +21:39:36.0  17.455 0.117   INDEF INDEF   INDEF INDEF   
124  10:01:31.48  +21:37:14.3   INDEF INDEF   INDEF INDEF  11.683 0.017   
125  10:01:58.46  +21:35:52.8  15.242 0.030  15.014 0.030  14.577 0.122   
126  10:01:54.61  +21:35:51.8  16.198 0.055  15.875 0.114  15.233 0.072   
127  10:01:51.40  +21:38:20.1  17.009 0.142  16.420 0.135  15.875 0.151   
128  10:01:38.47  +21:34:26.5  12.106 0.018  11.905 0.036  11.600 0.023   
129  10:01:47.81  +21:34:24.7  15.991 0.040  15.598 0.043  15.076 0.132   
130  10:01:28.53  +21:36:39.5  15.928 0.086  15.621 0.066  15.071 0.085   
2007hn 
101  21:02:42.18  -04:05:59.1  13.018 0.013  12.717 0.003  12.524 0.113   
102  21:02:40.71  -04:06:49.9  14.667 0.010  14.187 0.003  13.632 0.025   
103  21:02:57.33  -04:06:15.9  15.783 0.020   INDEF INDEF   INDEF INDEF   
104  21:02:42.52  -04:04:20.0  16.367 0.051  15.873 0.028  15.424 0.088   
105  21:02:45.28  -04:07:38.7  16.497 0.026   INDEF INDEF   INDEF INDEF   
106  21:02:38.43  -04:03:27.7  16.674 0.015   INDEF INDEF   INDEF INDEF   
107  21:02:41.94  -04:08:10.4  17.012 0.003   INDEF INDEF   INDEF INDEF   
108  21:02:37.12  -04:05:06.5  16.803 0.055   INDEF INDEF   INDEF INDEF   
109  21:03:08.05  -04:07:13.8  17.028 0.014   INDEF INDEF   INDEF INDEF   
110  21:02:52.70  -04:06:37.3  17.308 0.014  16.937 0.003  16.596 0.008   
111  21:02:55.00  -04:03:06.2  17.610 0.029   INDEF INDEF   INDEF INDEF   
112  21:02:48.47  -04:05:46.2  17.775 0.061  17.300 0.108   INDEF INDEF   
113  21:02:44.67  -04:05:35.2  14.672 0.003  14.378 0.017  14.072 0.072   
114  21:02:47.39  -04:06:03.2  17.347 0.054  16.905 0.091  16.314 0.162   
115  21:02:52.26  -04:05:11.1  15.693 0.020  15.404 0.004  15.029 0.021   
116  21:02:52.27  -04:03:44.0  12.164 0.004   INDEF INDEF   INDEF INDEF   
117  21:02:53.21  -04:03:53.9  13.577 0.014   INDEF INDEF   INDEF INDEF   
118  21:03:04.88  -04:04:46.6  13.844 0.007   INDEF INDEF   INDEF INDEF   
